rank,name,result,citizen_of,competition,year 
3288,Do Hyun Kwon (권도현),10.77,Republic of Korea,Cubing Korea 2019,2019
3288,Feruz Gulomov,10.77,Uzbekistan,Uzbekistan All Events 2019,2019
3288,Harishan Ramanan,10.77,United Kingdom,UK Championship 2019,2019
3288,Harry Taylor,10.77,United Kingdom,London Open 2019,2019
3288,Isaac Sánchez Aguilar,10.77,Mexico,Clásico 2015,2015
3288,Jetro Cherouvles Macasero,10.77,Philippines,Visayas Championship 2019,2019
3288,Kenneth Stewart,10.77,United States,SnoCo Fall 2019,2019
3288,Kui-En Chiu (邱奎恩),10.77,Taiwan,Taiwan Championship 2018,2018
3288,Logan Forsythe,10.77,United States,CubingUSA Nationals 2019,2019
3288,Lucas Sanchez,10.77,United States,GA Cubers Feet Fest 2019,2019
3288,Marcos Rodriguez,10.77,Peru,TCG Spring 2017,2017
3288,Maximiliano Perez Madrid,10.77,Chile,Cubopía Open 2020,2020
3288,Rama Temmink,10.77,Netherlands,Dutch Nationals 2011,2011
3288,Rey-Ann Constantino,10.77,Philippines,CaMaNaVa Open 2018,2018
3288,Samuel Klingström,10.77,Sweden,Swedish Cube Days 2013,2013
3288,Samuel Korn,10.77,United States,Fleur-de-lis Fall 2018,2018
3288,Szymon Szafrański,10.77,Poland,MLS Warszawa 2020,2020
3288,Tariq Ali,10.77,United States,Sharon Summer 2016,2016
3288,Thomas Sonnenberg Jarner,10.77,Denmark,Aarhus Christmas 2019,2019
3288,Timo Günthardt,10.77,Switzerland,Swisscubing Cup IV 2020,2020
3288,Yusuke Takada (高田祐介),10.77,Japan,Tokai Open 2019,2019
3288,Zixuan Yuan (袁子轩),10.77,China,NEU Open 2019,2019
3317,Alexandre Ravel,10.78,France,Speedcub&#39;Eirb Open 2019,2019
3317,Anssi Vanhala,10.78,Finland,Estonian Open 2012,2012
3317,Bat-Erdene Sambuudolgor (Самбуудолгор Бат-Эрдэнэ),10.78,Mongolia,Mongolia Championship 2019,2019
3317,Daniel Junji Kudo,10.78,Brazil,Fecap Open 2018,2018
3317,Dillon Luke,10.78,United States,Northeast Championship 2018,2018
3317,Edison Ooi,10.78,United States,Florida Winter Break 2019,2019
3317,Hsuan Chang (張璿),10.78,Taiwan,Taipei Open 2011,2011
3317,Ibrahim Khanani,10.78,United States,Scranton Scramble 2020,2020
3317,Jake Buckley,10.78,United States,Cubing Peoria 2020,2020
3317,Kevin Montano,10.78,Italy,Small CubingItaly 2014,2014
3317,Kush Jajal,10.78,India,DA-IICT Open 2018,2018
3317,Luis Carlos Morales Zubia,10.78,Mexico,Prime One Chihuahua 2016,2016
3317,Maksym Debelyi (Максим Дебелий),10.78,Ukraine,Ukrainian Open 2019,2019
3317,Mateusz Gabzdyl,10.78,Poland,Project Jastrzębie-Zdrój 2018,2018
3317,Maxwell Landes,10.78,United States,Thanks Four The Invite 2018,2018
3317,Richard Borowsky,10.78,United States,New Jersey Championship 2018,2018
3317,Robert Alden,10.78,United Kingdom,Manchester Open 2020,2020
3317,Sepehr Mahboob Jeddi (سپهر محبوب جدی),10.78,Iran,Golden Rubik&#39;s Cube 2017,2017
3317,Shun-Hsin Chang (張舜欣),10.78,Taiwan,Pingtung Cubing Open 2020,2020
3317,Umut Coşan,10.78,Turkey,Ankara Fall 2020,2020
3317,Yuxuan Li (李宇轩),10.78,China,Qianjiang Summer Open 2018,2018
3317,Zaiyuan Chu (初载源),10.78,China,Qingdao Spring 2019,2019
3339,Bo Li (李博),10.79,China,Yunnan Open 2015,2015
3339,Chenxiao He (何辰骁),10.79,China,Weihai Open 2018,2018
3339,Enmeng Zhang (张恩萌),10.79,China,Shenyang Open 2014,2014
3339,Enrico Tenuti,10.79,Italy,Italian Championship 2019,2019
3339,Erik Subirats,10.79,Spain,Andorra 2019,2019
3339,Han Dong (董晗),10.79,China,Hefei Spring 2019,2019
3339,Heo Chang-Hoe (허창회),10.79,Republic of Korea,Cubing Korea New Years 2012,2012
3339,Jiacheng Cai (蔡嘉成),10.79,China,Zhongshan NxN Speedcubing 2019,2019
3339,Justin Baek,10.79,United States,Puget Sound Fall 2017,2017
3339,Kailani Luu,10.79,Canada,Solved Central Alberta 2019,2019
3339,Kevin Zhao,10.79,New Zealand,Auckland Summer Open 2020,2020
3339,Krischal Dhungel,10.79,Nepal,Kavre Open 2019,2019
3339,Leonardo Caetano Araújo de Melo,10.79,Brazil,Estância Open 2017,2017
3339,Luis Jussie Delgado Villanueva,10.79,Peru,LatAm Tour - Arequipa 2017,2017
3339,Mano Ségransan,10.79,France,Savoie Open 2019,2019
3339,Paul Haye,10.79,France,Champagne Open 2019,2019
3339,Ryan Scott,10.79,United States,Derby City Open 2019,2019
3339,Stephano Saucedo Reyes,10.79,Mexico,Tlaxcala 2018,2018
3339,Szymon Juroszek,10.79,Poland,Dragon Cubing 2020,2020
3339,Takayuki Tanaka (田中隆喜),10.79,Japan,Kanazawa Open 2020,2020
3339,Tarun Jagadish,10.79,United States,Phoenix C3 Open 2018,2018
3339,Tiffany Choi,10.79,United States,Nisei Week 2015,2015
3339,Yauheni Herasimchyk (Евгений Герасимчик),10.79,Belarus,One day in Vileyka 2019,2019
3339,Ziqi Yang (杨子祺),10.79,China,Wuhan Chuyun Spring 2019,2019
3363,Benjamin Finley Lumpkin,10.80,United States,Music City Speedsolving 2018,2018
3363,Caini Huang (黄彩妮),10.80,China,Shantou Open 2018,2018
3363,Christian Rodríguez,10.80,Costa Rica,Bekubes Plaza Real Alajuela 2019,2019
3363,Danial Altana Bin Arif Tan,10.80,Malaysia,Pahang Cube Open 2019,2019
3363,Jiaxuan Wang,10.80,United States,Indianapolis Fall 2018,2018
3363,Jonathan Kaliffe,10.80,Australia,Going to The Gong 2020,2020
3363,Jongin Na (나종인),10.80,Republic of Korea,Uzbekistan New Year 2019,2019
3363,Kacper Wybrański,10.80,Poland,Cubers Eve 2019,2019
3363,Keenan Chen,10.80,Canada,National Capital Region 2017,2017
3363,Maksym Kashliatskyi (Максим Кашлятський),10.80,Ukraine,Dnepr Never Fails 2018,2018
3363,Qiyu Zhang (张淇隩),10.80,China,Ezhou Open 2019,2019
3363,Qizhe Ma (马启哲),10.80,China,Shenyang Open 2019,2019
3363,Xi Zhang (张希),10.80,China,Jinhua Open 2016,2016
3363,Zhiyi Xu (徐郅逸),10.80,China,Beijing Winter 2019,2019
3377,Alexandros Efremidis,10.81,Greece,German Big Cube Open 2017,2017
3377,Artur Chechekhin (Артур Чечёхин),10.81,Russia,Samara Speedcubing Fest 2019,2019
3377,Bin Zheng (郑彬),10.81,China,China Championship 2019,2019
3377,Chloé Demuynck,10.81,France,Belgian Solstice 2019,2019
3377,Eric Wang,10.81,United States,Potomac Speedcubing 2020,2020
3377,Henry H. La,10.81,United States,Lions Cubing 2018,2018
3377,Hongshuo Wei (魏宏硕),10.81,China,Shijiazhuang Open 2017,2017
3377,Iver Bascope,10.81,Bolivia,Christmas Cube 2017,2017
3377,Jason Vindvamara,10.81,United States,Garrettsville G-Men Classic 2020,2020
3377,Jie Wang (王杰),10.81,China,Wuxi Winter 2019,2019
3377,John Hornacek,10.81,United States,Minnesota Cube Days 2020,2020
3377,Kira-Lysan Meyer,10.81,Germany,German Nationals 2018,2018
3377,Kun Jiang (江鲲),10.81,China,Quanzhou Open 2019,2019
3377,Lim Chun Yik,10.81,Malaysia,USM Penang Cube 2019,2019
3377,Nguyến Danh An Khánh,10.81,Vietnam,Ha Noi Summer 2020,2020
3377,Nguyễn Ngọc Lê Hoàng,10.81,Vietnam,Da Nang Open 2018,2018
3377,Piyush Passi,10.81,India,Five Rivers Cube Open 2018,2018
3377,Renshi Yehezkiel,10.81,Indonesia,Jakarta Open 2019,2019
3377,Robert Kelly,10.81,United States,Cubing For LLS Fall 2018,2018
3377,Rok Glinšek,10.81,Slovenia,Ljubljana Open 2019,2019
3377,Zachary Friedman,10.81,United States,Cubing Knights 2017,2017
3377,Zhiyuan Lin (林致远),10.81,China,Xiamen Autumn 2019,2019
3377,Zian Song (宋子安),10.81,China,Kunshan Open 2019,2019
3400,Alexander Gusev,10.82,Russia,CCC Qualification Voronezh 2019,2019
3400,Antonio Pruteanu,10.82,Romania,Constanta Cube Days 2018,2018
3400,Chawin Ratanasiri (ชวิน รัตนสิริ),10.82,Thailand,Thailand Championship 2019,2019
3400,Dylan Johnston,10.82,Australia,Enjoyable Sydney Gathering 2020,2020
3400,Ilyaz Idirisov (Ильяз Идирисов),10.82,Kyrgyzstan,Almaty Altyn Cube 2018,2018
3400,Ivan Zabrodin,10.82,Russia,Dvina OH Edition 2014,2014
3400,Jesus Gil,10.82,Venezuela,LatAm Tour - Mérida 2017,2017
3400,Krishna Advait Sripada,10.82,India,K.K Cube Open 2018,2018
3400,Lalith Sashank,10.82,India,C3 Cup Finale 2019,2019
3400,Mateusz Adamczyk,10.82,Poland,PST Biłgoraj 2020,2020
3400,Michał Stachurski,10.82,Poland,MLS Warszawa 2020,2020
3400,Mohammad Tanvir Anjum Zenith,10.82,Bangladesh,Monsoon Cube Bangladesh 2018,2018
3400,Przemysław Rogalski,10.82,Poland,PST Łuków 2019,2019
3400,Reign Gabriel Torio,10.82,Philippines,Cube Ala-Eh V 2020,2020
3400,Sergey Chirin,10.82,Russia,CCC Qualification Voronezh 2019,2019
3400,Shengjun Yang (杨胜军),10.82,China,Xuzhou Spring 2019,2019
3400,Silas D. Breault,10.82,United States,Great Lakes Championship 2019,2019
3417,Bearwin Jairus Jovellanos Cruz,10.83,Philippines,Marikina City Open II 2019,2019
3417,Chunyu Zhang (张春雨),10.83,China,AHAU Open 2019,2019
3417,Daniel Porter,10.83,United States,Jacksonville 2019,2019
3417,Gavin Olson,10.83,Canada,Canada&#39;s Wild West 2019,2019
3417,Héctor Arévalo,10.83,Chile,Los Ángeles Invierno 2018,2018
3417,Jinyao Chen (陈今尧),10.83,China,China Championship 2018,2018
3417,Kacper Gałczyk,10.83,Poland,Dragon Cubing 2019,2019
3417,Le Yu (余乐),10.83,China,Wuxi Autumn 2018,2018
3417,Nguyễn Tuấn Tú,10.83,Vietnam,CSP Open 2015,2015
3417,Noah Haaning Jensen,10.83,Denmark,Danish Championship 2020,2020
3417,Polina Lapteva (Полина Лаптева),10.83,Russia,Udmurtia Open 2019,2019
3417,Tiago Akihiro Fujita,10.83,Brazil,Capivara Sunset 2019,2019
3417,Tiannan Wang (王天南),10.83,China,Xuzhou Winter 2018,2018
3417,Yee Wei Ji,10.83,Singapore,Singapore Championship 2018,2018
3431,Alex Stichler,10.84,United States,College Station Qualifier 2017,2017
3431,Alvin Liantoro Ramli,10.84,Indonesia,Skywalk 2018,2018
3431,Brandon Lugtu,10.84,United States,Bay Area Speedcubin&#39; 24 2020,2020
3431,Chu Tiến Phát,10.84,Vietnam,Ha Noi Cube Day 2020,2020
3431,Dawid Karczyński,10.84,Poland,PLS Gdańsk 2014,2014
3431,Ethan Vovan,10.84,United States,Irvine Winter 2018,2018
3431,Floyd Berona,10.84,United Kingdom,Rocky The Ram Cubes 2019,2019
3431,Hadif Hary Bin Hasfia,10.84,Malaysia,Sabah Cube Open 2018,2018
3431,Jesper Ulvang,10.84,Norway,Chill Out Trondheim 2018,2018
3431,Jichen Zha (查吉辰),10.84,China,Suzhou Open 2019,2019
3431,Jonathan Soo Min-Kit,10.84,Malaysia,Malaysia 10th Cube Open 2019,2019
3431,Jordan Harvey,10.84,New Zealand,Otago October 2019,2019
3431,Lariwell Llames Rodrigueza,10.84,Philippines,Bicol Open 2017,2017
3431,Matias Alonso Steven Kohl Chamblas,10.84,Chile,SCU Open 2017,2017
3431,Miguel Angel Edelman Vindel,10.84,Honduras,Bekubes Gold 2019,2019
3431,Mitchell Stern,10.84,United States,Washington DC Winter 2011,2011
3431,Nat Baylon,10.84,United States,Slow n Steady Fall 2015,2015
3431,Nikola Dimitrovski,10.84,North Macedonia,Kosovo Open 2019,2019
3431,Paul Luciw,10.84,France,Chelles Open 2020,2020
3431,Sukant Koul,10.84,India,CMI Tessellate Cube Open 2020,2020
3431,Tianzhao Jiang (姜天兆),10.84,China,Beijing Summer 2013,2013
3431,Wenjie Lan (兰文杰),10.84,China,Chengdu Open 2019,2019
3431,Xianjie Zhao (赵显杰),10.84,China,Qianjiang Summer Open 2018,2018
3431,Zhe Sun (孙喆),10.84,China,NEU Open 2019,2019
3431,Zixiong Gao (高子雄),10.84,China,China&#39;s 10th Anniversary 2017,2017
3456,Aisling Chan,10.85,Ireland,Irish Championship 2018,2018
3456,András Szigeti,10.85,Romania,Romanian Cubing Open 2019,2019
3456,Andres Rodriguez,10.85,United States,Trinity Valley Spring 2020,2020
3456,Aramayis Adloyan (Արամայիս Ադլոյան),10.85,Armenia,Kharkiv Special 2016,2016
3456,Beqa Kakhiani (ბექა კახიანი),10.85,Georgia,Georgia Open 2018,2018
3456,Chandler Pike,10.85,United States,Massachusetts Championship 2019,2019
3456,Daniel King,10.85,United States,Mudd Winter 2020,2020
3456,Elaine Wang,10.85,United States,Beijing Summer 2018,2018
3456,Ethan Crislip,10.85,United States,Ohio Fall 2011,2011
3456,Evan McKenzie,10.85,United States,Boston University Winter 2019,2019
3456,Haoze Yang (杨浩泽),10.85,China,Taizhou Open 2019,2019
3456,Hong Xiang Loke,10.85,Malaysia,USM Penang Cube 2019,2019
3456,Igor Tarabrin (Игорь Тарабрин),10.85,Russia,CCC Qualification SPB 2020,2020
3456,Josh Ezra Parpa,10.85,Philippines,Bacolod Cubing Quest 2018,2018
3456,Junmin Lin (林晙旻),10.85,China,Guangzhou Cube Day 2014,2014
3456,Justus Danielsen,10.85,United States,Nepali Nationals 2019,2019
3456,Linxun Ke (柯林汛),10.85,China,Zhongshan NxN Speedcubing 2019,2019
3456,Lochie Green,10.85,Australia,Canberra Spring 2016,2016
3456,Luke Bruce,10.85,Australia,Bendigo Cube Blitz 2020,2020
3456,Marco Signorini,10.85,Italy,Verona Open 2017,2017
3456,Mario Förderer,10.85,Germany,Munich Open 2019,2019
3456,Nguyễn Anh Khôi,10.85,Vietnam,Ha Noi Cube Day 2020,2020
3456,Nguyễn Khắc Đạo,10.85,Vietnam,Ha Noi Cube Day 2020,2020
3456,Piotr Frankowski,10.85,Poland,GLS Cup I 2016,2016
3456,Raymundo Alejandro Garza Cruz,10.85,Mexico,La Silla II 2019,2019
3456,Roman Varkuta (Роман Варкута),10.85,Ukraine,Kharkiv Open 2019,2019
3456,Ryan Jew,10.85,United States,ChicaGhosts 2017,2017
3456,Ryan Kao,10.85,Canada,Vancouver Open Summer 2017,2017
3456,Santeri Laine,10.85,Finland,Pönde Open 2019,2019
3456,Tamerlan Bagdatov,10.85,Kazakhstan,Cubing Kazakhstan Nationals 2019,2019
3456,Teng Wang (王腾),10.85,China,Shandong Open 2019,2019
3456,Thierry Orland Hung,10.85,Indonesia,Jakarta Open 2020,2020
3488,Adam Glendye,10.86,United States,Lexington Summer 2016,2016
3488,Anson Ho Wai Pang,10.86,Canada,Canadian Championship 2019,2019
3488,Caleb Wanca,10.86,United States,Buccaneer Bonanza 2019,2019
3488,Diego Poblete,10.86,Chile,Los Ángeles Invierno 2018,2018
3488,Fred Quong,10.86,Canada,National Capital Region 2018,2018
3488,Jakub Bartos,10.86,Poland,Santa Claus Cube Race 2019,2019
3488,João Felipe Ravani,10.86,Brazil,Canela Verde 2019,2019
3488,Juan Silvanio Tirado Illescas,10.86,Spain,Altasierra 2018,2018
3488,Juho Arjanne,10.86,Finland,Finnish Championship 2019,2019
3488,Pavlo Bondar (Павло Бондар),10.86,Ukraine,Dnepr Puzzles Fest 2019,2019
3488,Tianqin Lu (陆天勤),10.86,China,China Championship 2019,2019
3488,Yannick Richter,10.86,Germany,Berlin Summer Cube Days 2016,2016
3500,Alejandro Hernández Arce,10.87,Costa Rica,Bekubes Open 2018,2018
3500,Andrea Marconato,10.87,Italy,Romagna Open 2019,2019
3500,Andrew Kang,10.87,United States,US Nationals 2010,2010
3500,Andrey Mishin,10.87,Russia,Ural Autumn 2020,2020
3500,Apidet Lothanakit (อภิเดช หล่อธนกิจ),10.87,Thailand,Chonburi Open 2011,2011
3500,Arthur Wallem,10.87,Belgium,Annuntia Open 2020,2020
3500,Ashish Rawat,10.87,India,Indian Nationals 2016,2016
3500,Brandon Chu,10.87,Canada,Leap to Barrie 2020,2020
3500,Chloe Lee Synn Yii,10.87,Malaysia,Pahang Cube Open 2019,2019
3500,Colin Cayen,10.87,Canada,Canadian Championship 2019,2019
3500,Costea Livadari,10.87,Moldova,Moldova Open 2020,2020
3500,Dave Villarias,10.87,Philippines,Cuber&#39;s Cafe Open 2019,2019
3500,Đoàn Văn Danh,10.87,Vietnam,HCMC Spring Open 2016,2016
3500,Fabian Auroux,10.87,Germany,Tübingen Open 2016,2016
3500,Francis Theodore Ocampo,10.87,Philippines,Cebu Masters 2017,2017
3500,Fred Lang,10.87,United Kingdom,Manchester Open 2020,2020
3500,Giles Mampaey,10.87,Belgium,Annuntia Open 2020,2020
3500,Jacob Grahame,10.87,United States,Michigan Cubing Club Alpha 2020,2020
3500,Jenrry Valdez Aquima,10.87,Peru,Cubeland Arequipa 2019,2019
3500,Jorge Martín Espinosa,10.87,Spain,Fuengirola Cubea 2018,2018
3500,Juliana Gonzalez Silva,10.87,Colombia,Feliz Navidad Bogotá 2019,2019
3500,Juzheng Yue (岳巨政),10.87,China,Lanzhou Autumn 2018,2018
3500,Krystian Święch,10.87,Poland,MLS Warszawa 2020,2020
3500,Krzysztof Bober,10.87,Poland,GLS Cup II 2018,2018
3500,Luke Hudlass-Galley,10.87,United Kingdom,Fontwell Open 2019,2019
3500,Matthew Shore,10.87,United States,Bay Area Speedcubin&#39; 20 2019,2019
3500,Reuben San Luis,10.87,United States,Berkeley Spring 2019,2019
3500,Rodrigo Aguilar,10.87,Peru,Juan Manuel Zafra Open 2019,2019
3500,Ross Svensson-Hornbostel,10.87,Canada,National Capital Region 2016,2016
3500,Sander Joa,10.87,Norway,Sandnes Open 2017,2017
3500,Shawn Yang,10.87,Canada,Vancouver Big Cubes Open 2019,2019
3500,Sihan Jiao (焦思涵),10.87,China,Weihai Open 2017,2017
3500,Sota Ui (宇井颯汰),10.87,Japan,Tokai Open 2019,2019
3500,Stefan Stoiber,10.87,Austria,Vienna Open 2016,2016
3500,Vividh Sriram,10.87,United States,SacCubing VII 2019,2019
3500,Will Russo,10.87,United States,Empire State Spring 2019,2019
3500,Yang Cai (蔡扬),10.87,China,Shenzhen 10th Anniversary 2019,2019
3500,Yinfei Wang (王寅飞),10.87,China,Hangzhou Autumn 2019,2019
3538,András Szermek,10.88,Hungary,Budapest Open 2020,2020
3538,Andrew Nam,10.88,United States,TJHSST Fall 2016,2016
3538,Calven Lipec,10.88,Australia,Brilliant Ballarat 2019,2019
3538,Cedric Meysing,10.88,Germany,Frankfurt Cube Days 2020,2020
3538,Dilshod Akhmedov,10.88,Uzbekistan,Uzbekistan Nationals 2019,2019
3538,Eli Lifland,10.88,United States,Slow n Steady 2013,2013
3538,Hoe Zi Yang,10.88,Malaysia,MYCA Cube Day 2017,2017
3538,Hsiu-Lin Chuang (莊修霖),10.88,Taiwan,Taiwan Championship 2019,2019
3538,Ian Gorev,10.88,Russia,SPB Easter Open 2017,2017
3538,Jiaxin Hou (侯家欣),10.88,China,Wuhan Chuyun Spring 2017,2017
3538,Jingyang Zhang (张敬阳),10.88,China,Xinxiang Open 2019,2019
3538,Lang Yuan (袁朗),10.88,China,Xuzhou Winter 2018,2018
3538,Márk Vecsernyés,10.88,Hungary,Hungarian Nationals 2016,2016
3538,Masahiro Hayashi (林真大),10.88,Japan,Kyoto Open 2019,2019
3538,Mehrzad Goli (مهرزاد گلی),10.88,Iran,Sina International 2019,2019
3538,Moe Nakano (中野萌絵),10.88,Japan,UT Open 2011,2011
3538,Nathan Peck,10.88,United States,Empire State Spring 2019,2019
3538,Nathan Popov,10.88,United States,Wiscube 2019,2019
3538,Philippe Virouleau,10.88,France,Elsass Open 2019,2019
3538,Rottie Cabael,10.88,Philippines,Pangasinan Speedcubing Open 2017,2017
3538,Ryan Rodden,10.88,United States,Charlotte Winter 2020,2020
3538,Sean Fei,10.88,United States,MIT Winter 2020,2020
3538,Yizhou Zhang (张乂洲),10.88,China,China Championship 2018,2018
3538,Yuheng Zhang (张宇恒),10.88,China,China Championship 2019,2019
3562,Adam Kędziorski,10.89,Poland,MLS Warszawa 2020,2020
3562,Alejandro Gallar Caballero,10.89,Spain,Canarias Open 2018,2018
3562,Alexander Belyakov,10.89,Russia,Back 2 Santiago 2017,2017
3562,Austin Jensen,10.89,Canada,Edmonton New Year 2019,2019
3562,Denys Shyshliannykov (Денис Шишлянников),10.89,Ukraine,Ukrainian Open 2018,2018
3562,Edward Rust,10.89,Australia,Sydney Open 2019,2019
3562,Fyodor Borisov,10.89,Russia,Svetlye Gory Open 2017,2017
3562,Giovanny Coronado,10.89,Colombia,Neiva SpeedCubing 2017,2017
3562,Haoran Jing (荆浩然),10.89,China,Shandong Open 2019,2019
3562,Kaito Mori (森海斗),10.89,Japan,Tohoku 2018,2018
3562,Kemuel Tawatao,10.89,Philippines,Philippine Championship 2019,2019
3562,Kendrick Poon,10.89,Singapore,Singapore Championship 2018,2018
3562,Marjorie Marbly Miranda Nunes,10.89,Brazil,Brasília Spring 2018,2018
3562,Maxim Boyan Lin,10.89,United States,Providence Fall 2019,2019
3562,Muhammad Rafli Esa Pradana,10.89,Indonesia,Jakarta Mini Open 2019,2019
3562,Parth Singh,10.89,India,Indian Nationals 2019,2019
3562,Phung Gia Bao,10.89,Vietnam,HCMC Pro League 2019,2019
3562,Samuel Baird,10.89,United States,Utah&#39;s CGE 2019,2019
3562,Samuel Cedeño,10.89,Colombia,Feliz Navidad Bogotá 2019,2019
3562,Santiago Jose Alvarádo Romero,10.89,Venezuela,Nacionales Medellín Explora 2019,2019
3562,Tee Kai Long,10.89,Malaysia,STEM Cube Open Penang 2019,2019
3562,Vincent Švec,10.89,Slovakia,Andritz Humenné Open 2017,2017
3584,Andrew Wooten,10.90,United States,Perfect Vision Provo 2020,2020
